Input,Match type,Approved symbol,Approved name,HGNC ID,Location
A1BG,Approved symbol,A1BG,alpha-1-B glycoprotein,HGNC:5,19q13.43
A1CF,Approved symbol,A1CF,APOBEC1 complementation factor,HGNC:24086,10q11.23
A2BP1,Synonyms,RBFOX1,RNA binding fox-1 homolog 1,HGNC:18222,16p13.3
A2LD1,Previous symbol,GGACT,gamma-glutamylamine cyclotransferase,HGNC:25100,13q32.3
A2ML1,Approved symbol,A2ML1,alpha-2-macroglobulin like 1,HGNC:23336,12p13.31
A2M,Approved symbol,A2M,alpha-2-macroglobulin,HGNC:7,12p13.31
A4GALT,Approved symbol,A4GALT,"alpha 1,4-galactosyltransferase (P blood group)",HGNC:18149,22q13.2
A4GNT,Approved symbol,A4GNT,"alpha-1,4-N-acetylglucosaminyltransferase",HGNC:17968,3q22.3
AAA1,Synonyms,NPSR1-AS1,NPSR1 antisense RNA 1,HGNC:22128,7p14.3
AAAS,Approved symbol,AAAS,aladin WD repeat nucleoporin,HGNC:13666,12q13.13
AACSL,Previous symbol,AACSP1,acetoacetyl-CoA synthetase pseudogene 1,HGNC:18226,5q35.3
AACS,Approved symbol,AACS,acetoacetyl-CoA synthetase,HGNC:21298,12q24.31
AADACL2,Approved symbol,AADACL2,arylacetamide deacetylase like 2,HGNC:24427,3q25.1
AADACL3,Approved symbol,AADACL3,arylacetamide deacetylase like 3,HGNC:32037,1p36.21
AADACL4,Approved symbol,AADACL4,arylacetamide deacetylase like 4,HGNC:32038,1p36.21
AADAC,Approved symbol,AADAC,arylacetamide deacetylase,HGNC:17,3q25.1
AADAT,Approved symbol,AADAT,aminoadipate aminotransferase,HGNC:17929,4q33
AAGAB,Approved symbol,AAGAB,alpha and gamma adaptin binding protein,HGNC:25662,15q23
AAK1,Approved symbol,AAK1,AP2 associated kinase 1,HGNC:19679,2p13.3
AAMP,Approved symbol,AAMP,angio associated migratory cell protein,HGNC:18,2q35
AANAT,Approved symbol,AANAT,aralkylamine N-acetyltransferase,HGNC:19,17q25.1
AARS2,Approved symbol,AARS2,"alanyl-tRNA synthetase 2, mitochondrial",HGNC:21022,6p21.1
AARSD1,Approved symbol,AARSD1,alanyl-tRNA synthetase domain containing 1,HGNC:28417,17q21.31
AARS,Approved symbol,AARS,alanyl-tRNA synthetase,HGNC:20,16q22.1
AASDHPPT,Approved symbol,AASDHPPT,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,HGNC:14235,11q22.3
AASDH,Approved symbol,AASDH,aminoadipate-semialdehyde dehydrogenase,HGNC:23993,4q12
AASS,Approved symbol,AASS,aminoadipate-semialdehyde synthase,HGNC:17366,7q31.32
AATF,Approved symbol,AATF,apoptosis antagonizing transcription factor,HGNC:19235,17q12
